Band	ANSP	Plate.number	Taxon_order	Taxon_family	Taxon	Season	Date	Age	Sex	Gel.band.haem	Gel.band.Leuco	Lineage.N..O.	Parasite.1	Parasite.2	Parasite.3	Parasite.4	Lineage.Name.1	Lineage.Name.2	Lineage.Name.3	Lineage.Name.4	Migration	Breeding	lineage.per.host	infxn	haempresence	plaspresence	leucopresence	mixedinfxn	
217102989	30357	Rushton_2	Passeriformes	Parulidae	Seiurus aurocapilla	summer	16-Jun-15	ASY	Female												3	1	0	0	0	0	0	0	
256185044	30358	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	16-Jun-15	ASY	Female	positive		Old	Plasmodium				TUMIG03				3	1	1	1	0	1	0	0	
264173016	30359	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	16-Jun-15	ASY	Female												2	1	0	0	0	0	0	0	
255102580	30360	Rushton_2	Piciformes	Picidae	Picoides pubescens	summer	16-Jun-15	ASY	Female	positive		Old	Haemoproteus				VIOLI11				0	1	1	1	1	0	0	0	
255102581	30361	Rushton_2	Passeriformes	Troglodytidae	Thryothorus ludovicianus	summer	16-Jun-15	SY	Male	positive		Old	Plasmodium				PADOM11				0	1	1	1	0	1	0	0	
255102582	30362	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	16-Jun-15	SY	Male												3	1	0	0	0	0	0	0	
191034856	30363	Rushton_2	Passeriformes	Paridae	Poecile carolinensis	summer	16-Jun-15	SY	Female												0	1	0	0	0	0	0	0	
217102978	30364	Rushton_2	Passeriformes	Parulidae	Seiurus aurocapilla	summer	16-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
264173032	30365	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	16-Jun-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	1	1	1	1	0	0	0	
255102561	30366	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	16-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
134293812	30367	Rushton_2	Passeriformes	Passerellidae	Pipilo erythrophthalmus	summer	16-Jun-15	ASY	Male		positive	Old	Leucocytozoon				DUMCAR13				3	1	1	1	0	0	1	0	
264173033	30368	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	16-Jun-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				2	1	1	1	1	0	0	0	
192147710	30369	Rushton_2	Passeriformes	Parulidae	Seiurus aurocapilla	summer	16-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
255102585	30370	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	16-Jun-15	ASY	Female	positive	positive	Old	Plasmodium	Leucocytozoon			CATUST06	CATMIN05			3	1	2	1	0	1	1	1	
264173009	30371	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	16-Jun-15	SY	Male												3	1	0	0	0	0	0	0	
270030477	30372	Rushton_2	Passeriformes	Passerellidae	Spizella pusilla	spring	12-May-15	SY	Female	positive		Old	Haemoproteus				MAFUS02				1	0	1	1	1	0	0	0	
217102954	30373	Rushton_2	Passeriformes	Parulidae	Seiurus aurocapilla	summer	6-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
256185036	30374	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	6-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
264173021	30375	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	16-Jun-15	SY	Female	positive		Old	Plasmodium				SYAT05				3	1	1	1	0	1	0	0	
264172956	30376	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	16-Jun-15	SY	Male	positive		Old	Haemoproteus				MAFUS02				NA	NA	1	1	1	0	0	0	
264172884	30377	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	16-Jun-15	SY	Male	positive		New	Haemoproteus				MAFUS02				2	1	1	1	1	0	0	0	
270030493	30378	Rushton_2	Passeriformes	Parulidae	Geothlypis trichas	summer	16-Jun-15	ASY	Male												2	1	0	0	0	0	0	0	
92038227	30379	Rushton_2	Passeriformes	Parulidae	Seiurus aurocapilla	summer	16-Jun-15	ASY	Male												3	1	0	0	0	0	0	0	
264172968	30380	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	16-Jun-15	SY	Male	positive	positive	Old	Plasmodium	Leucocytozoon			TUMIG03	CATMIN01			3	1	2	1	0	1	1	1	
255102587	30382	Rushton_2	Passeriformes	Turdidae	Catharus fuscescens	summer	23-Jun-15	AHY	Male												3	1	0	0	0	0	0	0	
256185782	30383	Rushton_2	Passeriformes	Turdidae	Hylocichla mustelina	summer	23-Jun-15	ASY	Male		positive	Old	Leucocytozoon				CATMIN01				3	1	1	1	0	0	1	0	
256142449	30384	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	23-Jun-15	ASY	Female	positive		Old	Haemoproteus				MAFUS02				2	1	1	1	1	0	0	0	
264173035	30385	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	23-Jun-15	ASY	Male												2	1	0	0	0	0	0	0	
264173036	30386	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	23-Jun-15	SY	Male												2	1	0	0	0	0	0	0	
256185508	30387	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	23-Jun-15	ASY	Male	positive		New	Haemoproteus	Plasmodium			MAFUS02	PADOM11			2	1	2	1	1	1	0	1	
264172908	30388	Rushton_2	Passeriformes	Mimidae	Dumetella carolinensis	summer	23-Jun-15	ASY	Male	positive		Old	Haemoproteus				MAFUS02				2	1	1	1	1	0	0	0	
